time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
44,1.14,0.0,0.026485925540328026,0.0,32800,0.0,100.0,324,241.74551,0.0,741,2.7036305716028615,0.04197209590347484,-17.215079233050346,0.2706377999857068,0.18451711535453796,-12.434585615992546,98.0,0.06471238867379725,98.0,0.0003,35.82136410474777,4032,0.07686743990052491
44,,,0.026485925540328026,,32800,0.0,100.0,328,241.74551,,741,,,,,,,,,,,,,
44,1.44,0.0,0.02650044672191143,0.0,33600,0.0,100.0,332,243.34369,0.0,753,2.8067729722690267,0.043376161716878414,-17.84027273952961,0.2660585811827332,0.17906939866952598,-13.522502109408379,98.0,0.06353278376627713,98.0,0.0003,35.46487122774124,4096,0.0780604193569161
44,,,0.02650044672191143,,33600,0.0,100.0,336,243.34369,,753,,,,,,,,,,,,,
44,1.8,0.0,0.026529325172305107,0.0,34400,0.0,100.0,340,246.48857,0.0,776,2.782844722025381,0.03961866468307562,-18.465168207883835,0.26113248453475535,0.17128696921281517,-15.772674158215523,98.0,0.06124435778474435,98.0,0.0003,34.961127519607544,4224,0.07719074946362525
44,,,0.026529325172305107,,34400,0.0,100.0,344,246.48857,,776,,,,,,,,,,,,,
44,2.61,0.0,0.0265448447316885,0.0,35200,0.0,100.0,348,250.82974,0.0,789,3.007617492084471,0.038134737871587276,-17.46861246228218,0.260788252344355,0.17192417755723,-16.169344931840897,98.0,0.06011400150600821,98.0,0.0003,34.78946095705032,4288,0.07549597206525505
44,,,0.0265448447316885,,35200,0.0,100.0,352,250.82974,,789,,,,,,,,,,,,,
44,1.23,0.0,0.02657334879040718,0.0,36000,0.0,100.0,356,253.00774,0.0,812,2.66408764189687,0.03733546921284869,-17.360766232013702,0.2574415961280465,0.16886226274073124,-17.866162061691284,98.0,0.057999813521746546,98.0,0.0003,34.633978605270386,4416,0.07512349425815046
44,,,0.02657334879040718,,36000,0.0,100.0,360,253.00774,,812,,,,,,,,,,,,,
44,1.05,0.0,0.02658933773636818,0.0,36800,0.0,100.0,364,252.42676,0.0,825,2.87598496391098,0.038233231724007055,-17.018215224146843,0.2570249424315989,0.17109456565231085,-17.97073596715927,98.0,0.05700096482178196,98.0,0.0003,34.50941422581673,4480,0.0753355915658176
44,,,0.02658933773636818,,36800,0.0,100.0,368,252.42676,,825,,,,,,,,,,,,,
44,1.65,0.0,0.026619138196110725,0.0,37600,0.0,100.0,372,251.70308,0.0,847,2.698473301423716,0.034625671920366585,-18.491457909345627,0.254475852008909,0.16438510757870972,-20.092238754034042,98.0,0.05494152277242392,98.0,0.0003,34.15308013558388,4608,0.0739525860408321
44,,,0.026619138196110725,,37600,0.0,100.0,376,251.70308,,847,,,,,,,,,,,,,
44,2.82,0.0,0.02663261443376541,0.0,38400,0.0,100.0,380,255.62599,0.0,860,2.497744849226946,0.034243099071318284,-18.704566448926926,0.25353599712252617,0.16548581793904305,-20.630075305700302,98.0,0.053930998023133725,98.0,0.0003,34.18272376060486,4672,0.07380473928060383
44,,,0.02663261443376541,,38400,0.0,100.0,384,255.62599,,860,,,,,,,,,,,,,
44,2.46,0.0,0.026661746203899384,0.0,39200,0.0,100.0,388,256.96542,0.0,883,2.372878977599756,0.04024701047455892,-19.078061178326607,0.24973920942284167,0.18539302749559283,-19.153567299246788,98.0,0.051982762466650456,98.0,0.0003,33.62168210744858,4800,0.07153828837908804
44,,,0.026661746203899384,,39200,0.0,100.0,392,256.96542,,883,,,,,,,,,,,,,
44,2.73,0.0,0.02668933756649494,0.0,40000,0.0,100.0,396,257.1417,0.0,906,2.597071223003456,0.0333177863212768,-17.471105486154556,0.24660692643374205,0.16312242206186056,-23.173392295837402,98.0,0.05015306279528886,98.0,0.0003,33.307564079761505,4928,0.0725133252562955
44,,,0.02668933756649494,,40000,0.0,100.0,400,257.1417,,906,,,,,,,,,,,,,
