time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
456,302.9988,0.0,100.0,75,607,45600,0.02568783424794674,-103.0183777809143,5.78096929192543,0.0003,11200,-3.2858023159205914,0.01542440929915756
460,302.85147,0.0,100.0,75,612,46000,0.02568720653653145,-103.69885969161987,6.984358534216881,0.0003,11296,-2.1654506772756577,0.015396015194710344
464,304.52826,0.0,100.0,75,617,46400,0.025681491941213608,-103.51035356521606,5.8503527790308,0.0003,11392,0.47732337191700935,0.015322344319429249
468,305.76135,0.0,100.0,75,623,46800,0.025690389797091484,-104.8838267326355,6.801016569137573,0.0003,11504,-3.0068329349160194,0.015272082760930061
472,306.43146,0.0,100.0,75,629,47200,0.025686372071504593,-105.24087238311768,7.180213809013367,0.0003,11600,-0.5416638776659966,0.015180111047811806
476,308.66653,0.0,100.0,75,634,47600,0.025687100365757942,-105.30820798873901,7.4217808842659,0.0003,11696,0.4898762544617057,0.01522523583844304
480,307.60922,0.0,100.0,75,639,48000,0.02569102868437767,-106.13293600082397,6.704287528991699,0.0003,11792,0.7268657144159079,0.015230118064209819
484,307.487,0.0,100.0,74,645,48400,0.025694342330098152,-107.36874628067017,10.46594113111496,0.0003,11904,-0.6139335781335831,0.015273848955985159
488,308.19104,0.0,100.0,74,650,48800,0.02569596841931343,-108.77276802062988,7.819083750247955,0.0003,12000,2.269522253423929,0.015338601544499397
492,309.22177,0.0,100.0,74,656,49200,0.025698358193039894,-109.66428470611572,5.896632611751556,0.0003,12096,2.3937720004469156,0.015372615947853774
496,308.75854,0.0,100.0,74,661,49600,0.025701524689793587,-110.0193099975586,7.2027178555727005,0.0003,12192,-2.5619881004095078,0.015430592000484467
500,308.31772,0.0,100.0,74,668,50000,0.02569587342441082,-110.45601177215576,8.712008893489838,0.0003,12304,0.35229990631341934,0.015421652293298393
504,308.6753,0.0,100.0,74,673,50400,0.02570284530520439,-111.05444860458374,6.180283725261688,0.0003,12400,3.0857671424746513,0.015576321864500642
508,310.89233,0.0,100.0,74,679,50800,0.02570674568414688,-111.67632818222046,7.525414407253265,0.0003,12496,1.6177129819989204,0.015694447210989892
512,312.42688,0.0,100.0,74,684,51200,0.025705905631184578,-112.40655851364136,8.335486680269241,0.0003,12592,2.5880764294415712,0.015855113742873073
516,311.09848,0.0,100.0,74,690,51600,0.02569706179201603,-112.88552522659302,12.412004739046097,0.0003,12704,5.883890673518181,0.016088358708657324
520,312.30215,0.0,100.0,74,696,52000,0.02569461427628994,-114.26888656616211,7.336524933576584,0.0003,12800,3.520986247807741,0.01647916401270777
524,313.26062,0.0,100.0,74,702,52400,0.02569524012506008,-115.04705810546875,7.471683591604233,0.0003,12896,3.7043314203619957,0.016983456211164594
528,313.9439,0.0,100.0,74,708,52800,0.02570355124771595,-115.83403873443604,8.34552177786827,0.0003,12992,4.1907776817679405,0.017392387380823493
532,313.0821,0.0,100.0,74,714,53200,0.02570326440036297,-116.18001079559326,7.73931747674942,0.0003,13104,1.6866780100390315,0.017625415232032537
536,310.55106,0.0,100.0,74,719,53600,0.025705786421895027,-116.29017782211304,7.983925759792328,0.0003,13200,1.6410072091966867,0.01766067568678409
540,310.653,0.0,100.0,74,725,54000,0.02570781670510769,-117.28412818908691,6.562484338879585,0.0003,13296,0.9439306640997529,0.01766899460926652
544,310.41605,0.0,100.0,74,730,54400,0.025707270950078964,-116.99488401412964,7.652799218893051,0.0003,13392,-0.2199244499206543,0.01765264046844095
548,308.95377,0.0,100.0,74,736,54800,0.025705430656671524,-117.81917762756348,7.1904599368572235,0.0003,13504,-1.803658552467823,0.017671970184892416
552,308.68732,0.0,100.0,74,741,55200,0.025703387334942818,-118.32483005523682,8.561470001935959,0.0003,13600,2.19421998411417,0.017709317384287715
556,309.43704,0.0,100.0,74,747,55600,0.02569824829697609,-119.13276290893555,8.635631293058395,0.0003,13696,4.0314686968922615,0.017816368490457535
560,310.05667,0.0,100.0,74,752,56000,0.025700217112898827,-119.73949766159058,9.002500414848328,0.0003,13792,3.606488261371851,0.01812734268605709
564,310.0219,0.0,100.0,74,758,56400,0.02570405788719654,-119.28161334991455,6.86166375875473,0.0003,13904,1.990621156990528,0.018469872418791056
568,311.2139,0.0,100.0,74,764,56800,0.025703290477395058,-120.07513284683228,6.703247368335724,0.0003,14000,2.552476767450571,0.01863286562729627
572,313.09082,0.0,100.0,74,770,57200,0.025707228109240532,-120.78478670120239,8.00616717338562,0.0003,14096,0.34726698510348797,0.018812218913808465
576,313.18515,0.0,100.0,74,775,57600,0.025703368708491325,-120.93275547027588,8.140072762966156,0.0003,14192,1.760937119834125,0.018936113454401493
580,315.42657,0.0,100.0,74,781,58000,0.025709619745612144,-121.00311183929443,7.312822788953781,0.0003,14304,2.183248709887266,0.019215059699490666
584,317.48077,0.0,100.0,74,787,58400,0.025718089193105698,-121.53134298324585,6.6656695902347565,0.0003,14400,1.9168165549635887,0.019450065563432872
588,318.89105,0.0,100.0,74,792,58800,0.025718994438648224,-122.2028636932373,8.011456042528152,0.0003,14496,1.4876685477793217,0.01956816588062793
592,320.07303,0.0,100.0,74,798,59200,0.025720303878188133,-122.64927768707275,6.682084172964096,0.0003,14592,-0.8020054511725903,0.019618626916781068
596,322.4973,0.0,100.0,73,805,59600,0.02572355605661869,-123.11593008041382,8.497312277555466,0.0003,14704,-2.409160502254963,0.019675100105814636
600,323.0449,0.0,100.0,74,810,60000,0.025722714141011238,-123.83441638946533,6.862303406000137,0.0003,14800,1.7097585275769234,0.019733005901798606
604,324.4344,0.0,100.0,73,817,60400,0.025727776810526848,-123.84341764450073,8.261473894119263,0.0003,14896,-0.0030526118353009224,0.019814195577055216
608,324.74557,0.0,100.0,73,822,60800,0.025730295106768608,-124.43289232254028,8.408864736557007,0.0003,14992,-1.8742796778678894,0.019897106802091002
612,324.034,0.0,100.0,73,828,61200,0.025732863694429398,-125.27423143386841,8.922893464565277,0.0003,15104,0.8093839064240456,0.019952799775637686
616,325.26602,0.0,100.0,73,833,61600,0.025732027366757393,-125.09854793548584,7.768736705183983,0.0003,15200,1.065957022830844,0.020047828438691795
620,325.17767,0.0,100.0,73,839,62000,0.02573375776410103,-126.07904720306396,7.945689767599106,0.0003,15296,1.3363066520541906,0.020219539641402662
624,325.0285,0.0,100.0,73,846,62400,0.025731710717082024,-126.13461112976074,6.625716894865036,0.0003,15392,0.5816049762070179,0.020351514918729663
628,324.53604,0.0,100.0,73,851,62800,0.02573796734213829,-126.45494747161865,7.383953541517258,0.0003,15504,2.2114134803414345,0.020518449367955327
632,324.17917,0.0,100.0,73,857,63200,0.025737784802913666,-127.09136962890625,7.97078076004982,0.0003,15600,3.3214718028903008,0.020581103512085974
636,327.0479,0.0,100.0,73,863,63600,0.025736546143889427,-127.4419641494751,7.583443850278854,0.0003,15696,1.8320907084271312,0.02071148599497974
640,328.53027,0.0,100.0,73,868,64000,0.025733979418873787,-127.88881397247314,8.121729701757431,0.0003,15792,-1.7615086026489735,0.02083340473473072
644,329.39032,0.0,100.0,73,874,64400,0.02573813684284687,-128.41159200668335,7.85588413476944,0.0003,15904,2.059811942279339,0.020972257014364004
648,330.27164,0.0,100.0,73,880,64800,0.02573668770492077,-128.98341512680054,10.127641707658768,0.0003,16000,2.716167027130723,0.021048527443781495
652,333.13788,0.0,100.0,73,886,65200,0.025738338008522987,-129.51904916763306,8.685161113739014,0.0003,16096,0.754855721257627,0.0212373910471797
656,334.38797,0.0,100.0,73,892,65600,0.025739990174770355,-129.50574588775635,7.835487902164459,0.0003,16192,-0.5522654540836811,0.021301790955476463
660,336.53583,0.0,100.0,73,898,66000,0.02574652060866356,-130.57868480682373,8.385634154081345,0.0003,16304,-1.222281739115715,0.02140914578922093
664,338.35907,0.0,100.0,73,904,66400,0.02574579231441021,-131.11851501464844,8.030224531888962,0.0003,16400,3.3407638538628817,0.021380756283178926
