rollout/ep_rew_mean,time/total_timesteps,time/fps,reward/static_reward,reward/info_exist_reward,time/time_elapsed,rollout/success_rate,reward/grasp_reward,train/std,reward/approach_reward,rollout/ep_len_mean,reward/goal_reward,time/episodes,rollout/success_rate_once,train/n_updates,train/actor_loss,train/critic_loss,train/aux_weight,train/learning_rate,train/critic_aux_loss,train/actor_aux_loss,train/ent_coef_loss,train/actor_target_loss,train/critic_target_loss,train/target_weight,train/ent_coef
299.98123,1278400,41,0.0,0.3,30828,0.22,0.36,0.14018379151821136,1.5796639839971567,100.0,0.1966252402867584,12780,0.3,159680,-161.75747179985046,65.86793595552444,28.00546374766822,0.0003,0.2885329043492675,0.08811662683729082,0.3412879256065935,0.01318554407771444,0.09921790228690952,28.00546374766822,0.036727362137753516
299.98123,1278400,41,,,30828,0.22,,0.14018379151821136,,100.0,,12784,,,,,,,,,,,,,
301.1649,1279200,41,0.0,0.3,30851,0.24,0.51,0.14017023146152496,3.31658853205401,100.0,0.15114609974948087,12788,0.31,159808,-162.00555109977722,61.38334900140762,28.00546374766822,0.0003,0.2905971510335803,0.08853357925545424,-0.20056863455101848,0.012092367382138036,0.10021554725244641,28.00546374766822,0.037005695048719645
301.1649,1279200,41,,,30851,0.24,,0.14017023146152496,,100.0,,12792,,,,,,,,,,,,,
307.4372,1280000,41,0.0,0.3,30865,0.26,0.21,0.1401452273130417,2.7843057636197126,100.0,0.11824553331792197,12796,0.33,159872,-162.2699680328369,62.12553030252457,28.00546374766822,0.0003,0.28807598166167736,0.087493238854222,0.18794976302888244,0.012368302392133046,0.09679082478396595,28.00546374766822,0.0369576015509665
307.4372,1280000,41,,,30865,0.26,,0.1401452273130417,,100.0,,12800,,,,,,,,,,,,,
310.51135,1280800,41,0.0,0.264,30889,0.27,0.06,0.14015069603919983,2.9079387505670926,100.0,0.037376506415664236,12804,0.35,160000,-162.41709637641907,65.14043539762497,27.44535447271485,0.0003,0.2885026950389147,0.08606741426046938,0.22106222668662667,0.010992486269969959,0.09831363009288907,27.44535447271485,0.03711152356117964
310.51135,1280800,41,,,30889,0.27,,0.14015069603919983,,100.0,,12808,,,,,,,,,,,,,
311.32285,1281600,41,0.0,0.3,30913,0.28,0.57,0.1401110291481018,3.1393652689464995,100.0,0.28122581233622945,12812,0.36,160128,-162.15188193321228,62.82442682981491,27.44535447271485,0.0003,0.2882367754355073,0.08621353411581367,0.4430750722531229,0.011800736996519845,0.10012932273093611,27.44535447271485,0.037168531678617
311.32285,1281600,41,,,30913,0.28,,0.1401110291481018,,100.0,,12816,,,,,,,,,,,,,
317.81958,1282400,41,0.0,0.23399999999999999,30926,0.31,0.36,0.14007480442523956,2.045785069823891,100.0,0.1508390797348641,12820,0.39,160192,-161.87110328674316,65.78890985250473,27.44535447271485,0.0003,0.2884878762997687,0.0862064155517146,0.4729410260915756,0.012133565374824684,0.10152444441337138,27.44535447271485,0.037265322695020586
317.81958,1282400,41,,,30926,0.31,,0.14007480442523956,,100.0,,12824,,,,,,,,,,,,,
319.8007,1283200,41,0.0,0.26099999999999995,30949,0.31,0.72,0.1400241106748581,4.484102239900895,100.0,0.25169943160262365,12828,0.4,160320,-162.64645314216614,65.03453439474106,27.44535447271485,0.0003,0.2858054470270872,0.08840777608565986,1.1310579752316698,0.011258861199166859,0.09839879290666431,27.44535447271485,0.037729920528363436
319.8007,1283200,41,,,30949,0.31,,0.1400241106748581,,100.0,,12832,,,,,,,,,,,,,
323.03894,1284000,41,0.0,0.26099999999999995,30962,0.32,0.0,0.13999538123607635,2.907175301792307,100.0,0.0,12836,0.4,160384,-162.5978033542633,65.52992880344391,27.44535447271485,0.0003,0.2883926387876272,0.09354205627460033,0.11733644385822117,0.015466775148524903,0.10106488724704832,27.44535447271485,0.03778052353300154
323.03894,1284000,41,,,30962,0.32,,0.13999538123607635,,100.0,,12840,,,,,,,,,,,,,
319.2471,1284800,41,0.0,0.294,30985,0.3,0.0,0.13999949395656586,2.88067753435037,100.0,0.0,12844,0.39,160512,-162.5838782787323,64.47333651781082,27.44535447271485,0.0003,0.28758652741089463,0.08851495513226837,0.44093012856319547,0.011743104856577702,0.09937398007605225,27.44535447271485,0.037975329207256436
319.2471,1284800,41,,,30985,0.3,,0.13999949395656586,,100.0,,12848,,,,,,,,,,,,,
320.6364,1285600,41,0.0,0.3,30998,0.32,0.72,0.14003080129623413,2.81631926644932,100.0,0.3323492434860765,12852,0.42,160576,-162.4131202697754,67.85729759931564,27.44535447271485,0.0003,0.2877478823065758,0.08889652590733021,0.19098869408480823,0.012169550231192261,0.09854544675908983,27.44535447271485,0.03810278978198767
