rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
151.87527,781,0.0,35200,,100.0,45,0.026523416861891747,,,,352,,,,,,,,,,,,,
152.71893,803,0.0,36000,0.0,100.0,44,0.02655300311744213,2.9461753778504742,0.0,0.0,356,0.09,0.2597944657318294,0.0003,32.861085027456284,-6.434668175876141,-17.57852427661419,4416,0.1639413987286389,98.0,98.0,0.03471031683147885,0.05735202052164823,0.07281242101453245
152.71893,803,0.0,36000,,100.0,44,0.02655300311744213,,,,360,,,,,,,,,,,,,
152.37764,816,0.0,36800,0.0,100.0,45,0.026568885892629623,2.71419913821813,0.0,0.0,364,0.075,0.255257083568722,0.0003,32.2561340034008,-6.166420355439186,-17.614405810832977,4480,0.16724431072361767,98.0,98.0,0.03688302088994533,0.05638891365379095,0.07121823588386178
152.37764,816,0.0,36800,,100.0,45,0.026568885892629623,,,,368,,,,,,,,,,,,,
150.84651,838,0.0,37600,0.0,100.0,44,0.02659890241920948,2.57899151955248,0.0,0.0,372,0.04499999999999999,0.2575403396040201,0.0003,32.565527737140656,-6.984362922608852,-19.05528350174427,4608,0.16643087030388415,98.0,98.0,0.036114834452746436,0.05439507495611906,0.07185241876868531
150.84651,838,0.0,37600,,100.0,44,0.02659890241920948,,,,376,,,,,,,,,,,,,
151.96301,851,0.0,38400,0.0,100.0,45,0.026612959802150726,2.9468753899597293,0.0,0.0,380,0.11099999999999997,0.2577568276319653,0.0003,32.470551550388336,-7.673674784600735,-19.556613132357597,4672,0.16450915206223726,98.0,98.0,0.03440131709794514,0.053401954704895616,0.0708381489966996
151.96301,851,0.0,38400,,100.0,45,0.026612959802150726,,,,384,,,,,,,,,,,,,
151.85553,874,0.0,39200,0.0,100.0,44,0.026643546298146248,2.619451403777611,0.0,0.0,388,0.07499999999999998,0.26463245670311153,0.0003,33.531625151634216,-7.941756121814251,-19.598555237054825,4800,0.1680655675008893,98.0,98.0,0.03426208483870141,0.05150323238922283,0.07403429411351681
151.85553,874,0.0,39200,,100.0,44,0.026643546298146248,,,,392,,,,,,,,,,,,,
153.83002,896,0.0,40000,0.0,100.0,44,0.026673199608922005,2.952250490274505,0.0,0.0,396,0.056999999999999995,0.2546526857186109,0.0003,32.25772970914841,-8.68863943964243,-18.267015144228935,4928,0.16638430766761303,98.0,98.0,0.0340657775523141,0.049741910479497164,0.07179284165613353
153.83002,896,0.0,40000,,100.0,44,0.026673199608922005,,,,400,,,,,,,,,,,,,
155.07863,909,0.0,40800,0.0,100.0,44,0.026687638834118843,2.860204077379925,0.0,0.0,404,0.13499999999999998,0.24880184442736208,0.0003,30.950509399175644,-10.194616109132767,-19.44170592725277,4992,0.16099008126184344,96.03999999999999,96.03999999999999,0.03221443871734664,0.04886991623789072,0.07035411079414189
155.07863,909,0.0,40800,,100.0,44,0.026687638834118843,,,,408,,,,,,,,,,,,,
156.64879,932,0.0,41600,0.0,100.0,44,0.02671523205935955,3.266468776877881,0.0,0.0,412,0.15,0.24904308235272765,0.0003,30.915306448936462,-10.520751118659973,-19.817075729370117,5120,0.1629267162643373,96.03999999999999,96.03999999999999,0.03363563588936813,0.04712001251755282,0.06988417526008561
156.64879,932,0.0,41600,,100.0,44,0.02671523205935955,,,,416,,,,,,,,,,,,,
156.96008,945,0.0,42400,0.0,100.0,44,0.026729600504040718,2.7465569434934594,0.0,0.0,420,0.13799999999999998,0.2534273110795766,0.0003,31.17733344435692,-10.379917830228806,-20.134282901883125,5184,0.1678054069634527,96.03999999999999,96.03999999999999,0.033138045197119936,0.04626709094736725,0.06819195649586618
156.96008,945,0.0,42400,,100.0,44,0.026729600504040718,,,,424,,,,,,,,,,,,,
158.04765,967,0.0,43200,0.0,100.0,44,0.02675873227417469,3.006301952836617,0.0,0.0,428,0.192,0.2478525717742741,0.0003,30.567854940891266,-11.66888676583767,-18.854270473122597,5312,0.16232392098754644,96.03999999999999,96.03999999999999,0.03183409833582118,0.04462297132704407,0.06718880479456857
158.04765,967,0.0,43200,,100.0,44,0.02675873227417469,,,,432,,,,,,,,,,,,,
158.34966,980,0.0,44000,0.0,100.0,44,0.02677423506975174,3.0286433061575155,0.0,0.0,436,0.03899999999999999,0.24681837065145373,0.0003,30.321062803268433,-12.380910962820053,-18.866551518440247,5376,0.15891382796689868,96.03999999999999,96.03999999999999,0.030706560908583924,0.043871886271517724,0.06565235333982855
158.34966,980,0.0,44000,,100.0,44,0.02677423506975174,,,,440,,,,,,,,,,,,,
160.58305,1003,0.0,44800,0.0,100.0,44,0.0268029123544693,3.134575544016051,0.0,0.0,444,0.05399999999999999,0.24280786071904004,0.0003,30.02942404150963,-13.267978370189667,-20.005848050117493,5504,0.15570518979802728,96.03999999999999,96.03999999999999,0.03153038799064234,0.04233986197505146,0.06635870749596506
160.58305,1003,0.0,44800,,100.0,44,0.0268029123544693,,,,448,,,,,,,,,,,,,
160.78825,1025,0.0,45600,0.0,100.0,44,0.026831837370991707,3.248236197379153,0.0,0.0,452,0.03599999999999999,0.2413163057062775,0.0003,29.731304734945297,-12.478037133812904,-21.459922164678574,5632,0.16978902299888432,96.03999999999999,96.03999999999999,0.032222226553130895,0.040844596980605274,0.06483499746536836
160.78825,1025,0.0,45600,,100.0,44,0.026831837370991707,,,,456,,,,,,,,,,,,,
163.43239,1038,0.0,46400,0.0,100.0,44,0.02684563398361206,3.719566356559442,0.0,0.0,460,0.147,0.24023857503198087,0.0003,29.469255685806274,-14.141879051923752,-19.628601849079132,5696,0.1582959503866732,96.03999999999999,96.03999999999999,0.02962791547179222,0.040088543319143355,0.06307252694386989
163.43239,1038,0.0,46400,,100.0,44,0.02684563398361206,,,,464,,,,,,,,,,,,,
164.45242,1060,0.0,47200,0.0,100.0,44,0.026875445619225502,2.946124036300177,0.0,0.0,468,0.08399999999999999,0.24199703941121697,0.0003,29.79911443591118,-14.643993780016899,-19.635202407836914,5824,0.15843036375008523,96.03999999999999,96.03999999999999,0.030930983688449487,0.03868898790096864,0.06447931617731228
164.45242,1060,0.0,47200,,100.0,44,0.026875445619225502,,,,472,,,,,,,,,,,,,
165.85516,1073,0.0,48000,0.0,100.0,44,0.02688995935022831,3.0484201620833495,0.0,0.0,476,0.11699999999999999,0.24133858969435096,0.0003,29.540052503347397,-15.166940942406654,-20.670627534389496,5888,0.15662294579669833,96.03999999999999,96.03999999999999,0.030020234786206856,0.03801159362774342,0.06277185882208869
165.85516,1073,0.0,48000,,100.0,44,0.02688995935022831,,,,480,,,,,,,,,,,,,
167.8437,1096,0.0,48800,0.0,100.0,44,0.026916906237602234,3.4719683055159614,0.0,0.0,484,0.23099999999999998,0.2378188909497112,0.0003,29.130544066429138,-15.983768045902252,-20.053081199526787,6016,0.15592019888572395,96.03999999999999,96.03999999999999,0.0287947840988636,0.0366474220645614,0.06166027148719877
167.8437,1096,0.0,48800,,100.0,44,0.026916906237602234,,,,488,,,,,,,,,,,,,
168.67023,1109,0.0,49600,0.0,100.0,44,0.026930993422865868,3.5444448762511094,0.0,0.0,492,0.15,0.23625421850010753,0.0003,28.79603612422943,-15.097733169794083,-19.61169670522213,6080,0.16848902963101864,96.03999999999999,96.03999999999999,0.029186076251789927,0.03601043269736692,0.060034177266061306
168.67023,1109,0.0,49600,,100.0,44,0.026930993422865868,,,,496,,,,,,,,,,,,,
168.14462,1130,0.0,50400,0.0,100.0,44,0.026959426701068878,3.188811506200403,0.0,0.0,500,0.11399999999999999,0.23281576321460307,0.0003,28.66110923886299,-16.513000190258026,-20.415731951594353,6208,0.16051621618680656,96.03999999999999,96.03999999999999,0.028610856912564486,0.03479141677962616,0.061551445454824716
168.14462,1130,0.0,50400,,100.0,44,0.026959426701068878,,,,504,,,,,,,,,,,,,
167.15448,1143,0.0,51200,0.0,100.0,44,0.02697458304464817,3.0499303015544355,0.0,0.0,508,0.141,0.23364602704532444,0.0003,28.67132592201233,-17.13995361328125,-19.016727954149246,6272,0.1575936246663332,96.03999999999999,96.03999999999999,0.02791674350737594,0.034183358133304864,0.06098992272745818
167.15448,1143,0.0,51200,,100.0,44,0.02697458304464817,,,,512,,,,,,,,,,,,,
168.34862,1166,0.0,52000,0.0,100.0,44,0.02700238674879074,3.4751069412387405,0.0,0.0,516,0.18599999999999997,0.22711208113469183,0.0003,27.914093285799026,-17.9436544328928,-19.648253172636032,6400,0.15445175720378757,96.03999999999999,96.03999999999999,0.028702722978778183,0.03304351697443053,0.05953341186977923
168.34862,1166,0.0,52000,,100.0,44,0.02700238674879074,,,,520,,,,,,,,,,,,,
