time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
45,0.026733776554465294,857,0.0,39200,388,278.60928,100.0,98.0,0.24028547294437885,4800,-25.803256779909134,0.1707341568544507,98.0,-15.328061044216156,0.0003,0.07233064959291369,0.033637492073467,0.05293502559652552,32.61301872134209
45,0.026733776554465294,857,0.0,39200,392,278.60928,100.0,,,,,,,,,,,,
45,0.026766959577798843,878,0.0,40000,396,279.08368,100.0,98.0,0.23581105866469443,4928,-27.374366909265518,0.17064123740419745,98.0,-16.75546933710575,0.0003,0.06827829190297052,0.03224124206462875,0.05120500683551654,31.903986632823944
45,0.026766959577798843,878,0.0,40000,400,279.08368,100.0,,,,,,,,,,,,
45,0.026785070076584816,891,0.0,40800,404,278.99728,100.0,96.03999999999999,0.229130192194134,4992,-22.881896823644638,0.21784653747454286,96.03999999999999,-14.982597902417183,0.0003,0.06746116315480322,0.04170109593542293,0.05037383100716397,30.523807793855667
45,0.026785070076584816,891,0.0,40800,408,278.99728,100.0,,,,,,,,,,,,
45,0.02682000957429409,912,0.0,41600,412,278.88416,100.0,96.03999999999999,0.229250360513106,5120,-29.378410577774048,0.17438376788049936,96.03999999999999,-15.921423122286797,0.0003,0.064564454020001,0.03015499486355111,0.04874073906103149,30.196536481380463
45,0.02682000957429409,912,0.0,41600,416,278.88416,100.0,,,,,,,,,,,,
45,0.02683689072728157,925,0.0,42400,420,279.67487,100.0,96.03999999999999,0.22922770562581718,5184,-29.55847841501236,0.17672499106265604,96.03999999999999,-16.69319148361683,0.0003,0.06549401866504923,0.032178458670387045,0.047923473292030394,30.322806984186172
45,0.02683689072728157,925,0.0,42400,424,279.67487,100.0,,,,,,,,,,,,
